,Enrolled,Invoice Spend Last One Year,Invoice Count Last One Year,Annual Revenue,Early Payment Rate of Last EP Offered,Inv Average Term Days Last 30 Days,Inv Average Days to Approval 30 Days,Inv Average Days To Pay 30 Days,US,CA,GB,DE,Participation_Rate
0,1.0,151735.0,255.0,610000.0,0.0,65.9,0.33,65.71,1,0,0,0,0.113597415005
1,1.0,402183.0,251.0,6303365.0,24.0,0.0,0.0,134.0,1,0,0,0,0.0461283120747
2,1.0,40358.0,26.0,25946616.0,24.0,0.0,0.0,38.25,1,0,0,0,0.0684858310589
3,0.0,1668.0,2.0,-1000000000.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0
4,1.0,28121.0,7.0,9564034.0,24.33,0.0,0.0,27.0,1,0,0,0,0.344738802484
6,1.0,68283.0,6.0,3403000000.0,24.0,0.0,0.0,58.0,1,0,0,0,0.0107538052171
7,1.0,274.0,1.0,-1000000000.0,0.0,0.0,0.0,0.0,0,0,1,0,0.0216043563247
8,0.0,688294.0,10.0,-1000000000.0,0.0,3.0,0.0,6.0,1,0,0,0,0.249204553719
9,0.0,39261.0,12.0,-1000000000.0,0.0,1.0,0.0,1.0,1,0,0,0,0.252845870156
11,0.0,81.0,1.0,-1000000000.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0059888530029
12,0.0,53543.0,42.0,0.0,24.0,34.0,8.0,34.0,1,0,0,0,0.0
13,0.0,314.0,2.0,-1000000000.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0
14,0.0,1370.0,1.0,-1000000000.0,24.0,0.0,0.0,0.0,1,0,0,0,0.0
15,0.0,82.0,1.0,-1000000000.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0059888530029
17,0.0,948150.0,6.0,6436956591.0,0.0,0.0,0.0,0.0,1,0,0,0,0.00436650011318
18,0.0,93.0,1.0,10739302.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0222262008155
19,1.0,95246.0,32.0,11556504.0,0.0,66.5,8.75,0.0,0,0,0,0,0.0576411963477
20,0.0,1106.0,7.0,-1000000000.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0
21,0.0,306.0,2.0,-1000000000.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0
22,0.0,32.0,1.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0.00729514146138
23,0.0,1405.0,1.0,-1000000000.0,0.0,0.0,0.0,0.0,1,0,0,0,0.0155761656387
24,1.0,18294.0,6.0,-1000000000.0,22.0,0.0,0.0,0.0,1,0,0,0,0.164390888198
25,1.0,31684.0,5.0,590000.0,24.0,0.0,0.0,0.0,1,0,0,0,0.228252719535
26,0.0,41.0,1.0,297620.0,0.0,0.0,0.0,0.0,0,0,0,1,0.0
27,0.0,1182.0,2.0,-1000000000.0,0.0,0.0,0.0,0.0,1,0,0,0,0.011769624058
28,0.0,2874.0,20.0,-1000000000.0,0.0,0.0,0.0,2.0,0,0,0,0,0.0818837591359
29,1.0,68302.0,10.0,0.0,0.0,0.0,2.0,0.0,1,0,0,0,0.154180191332
30,0.0,10000.0,1.0,-1000000000.0,0.0,0.0,0.0,0.0,1,0,0,0,0.0391908773347
31,0.0,546.0,1.0,-1000000000.0,0.0,0.0,0.0,0.0,1,0,0,0,0.0281789966253
32,1.0,36370.0,17.0,0.0,0.0,48.0,7.0,48.0,0,0,0,0,0.0403935454161
33,1.0,12696938.0,3850.0,-1000000000.0,0.0,32.13,8.09,26.89,1,0,0,0,0.0
34,1.0,121425.0,8.0,379113.0,18.0,0.0,0.0,0.0,1,0,0,0,0.265403889682
35,1.0,824714.0,2.0,2514859.0,15.64,0.0,0.0,0.0,1,0,0,0,0.269033469667
36,0.0,74970.0,6.0,-1000000000.0,24.0,0.0,0.0,0.0,1,0,0,0,0.0
37,0.0,5113.0,7.0,185440859.0,0.0,30.0,28.0,30.0,1,0,0,0,0.0
38,0.0,17475.0,2.0,13176444.0,0.0,40.0,274.0,0.0,1,0,0,0,0.137025656636
39,1.0,348907.0,127.0,42738212.0,0.0,69.85,16.54,54.5,0,0,0,1,0.0
41,1.0,233245.0,240.0,-1000000000.0,24.0,18.94,0.0,20.22,1,0,0,0,0.0
43,0.0,258.0,1.0,60794603.0,0.0,0.0,0.0,0.0,1,0,0,0,0.113465761066
44,0.0,1273.0,7.0,-1000000000.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0
45,1.0,350902.0,859.0,73514505.0,18.0,30.0,4.96,8.03,1,0,0,0,0.732750495552
46,0.0,250.0,1.0,-1000000000.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0
47,0.0,2000.0,2.0,0.0,0.0,64.0,13.0,0.0,0,0,0,0,0.0
48,1.0,151032.0,54.0,0.0,0.0,60.0,1.75,0.0,0,0,1,0,0.0
49,1.0,1365187.0,178.0,-1000000000.0,24.0,90.0,8.18,88.83,1,0,0,0,0.0235268624334
50,0.0,77.0,1.0,-1000000000.0,0.0,0.0,2.0,6.0,0,0,0,0,0.0889458906427
51,1.0,7918.0,3.0,1788909.0,0.0,160.0,99.0,0.0,1,0,0,0,0.180591909057
52,1.0,1627587.0,21.0,120615.0,0.0,0.0,0.0,0.0,0,0,0,0,0.186468587787
53,0.0,314.0,4.0,-1000000000.0,0.0,0.0,1.0,0.0,0,0,0,0,0.0101998178319
54,0.0,306.0,1.0,-1000000000.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0
55,1.0,6157350.0,47.0,2405700.0,1.5,0.0,0.0,0.0,0,0,0,0,0.106828687916
56,0.0,333.0,1.0,208126.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0141778796437
57,0.0,205557.0,4.0,5725000.0,0.0,0.0,0.0,0.0,1,0,0,0,0.0
58,1.0,2666.0,2.0,10957899.0,36.0,30.0,83.0,0.0,1,0,0,0,0.0819281896393
60,0.0,39196.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0
61,1.0,247767.0,24.0,15478914.0,24.0,34.67,10.0,0.0,1,0,0,0,0.0276601513804
62,0.0,1108.0,5.0,-1000000000.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0
63,1.0,165969.0,9.0,471165.0,24.0,90.0,13.0,0.0,0,1,0,0,0.032930029932
64,0.0,234.0,3.0,-1000000000.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0
65,0.0,189175.0,3.0,2141347.0,0.0,75.0,8.0,0.0,1,0,0,0,0.0
66,0.0,242.0,1.0,-1000000000.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0
68,1.0,887186.0,1040.0,790000.0,0.0,34.0,0.73,14.0,1,0,0,0,0.134635265885
69,1.0,174.0,2.0,4456018.0,0.0,0.0,0.0,0.0,1,0,0,0,0.347451670021
70,0.0,567.0,1.0,-1000000000.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0
71,1.0,426858.0,42.0,230208668.0,5.0,0.0,0.0,0.0,0,0,1,0,0.0482589594269
72,1.0,174978.0,22.0,924728000.0,18.0,25.0,8.0,18.0,1,0,0,0,0.0516074197247
73,1.0,17075.0,2.0,-1000000000.0,0.0,30.0,14.0,0.0,1,0,0,0,0.14719521644
74,1.0,451353.0,2.0,-1000000000.0,0.0,0.0,0.0,0.0,0,0,0,0,0.100736260677
75,1.0,395.0,1.0,190000.0,0.0,0.0,0.0,0.0,1,0,0,0,0.240946718525
76,0.0,53172.0,45.0,-1000000000.0,11.0,35.2,10.4,0.0,0,0,0,0,0.00941715974294
77,0.0,435482.0,117.0,0.0,0.0,11.67,19.67,16.0,0,0,0,0,0.0554988975852
78,0.0,207.0,1.0,-1000000000.0,0.0,0.0,0.0,0.0,0,0,1,0,0.0
79,0.0,2400.0,2.0,0.0,18.0,0.0,0.0,0.0,0,0,0,0,0.00297617072231
81,0.0,1321.0,2.0,-1000000000.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0
82,1.0,521935.0,137.0,62313050.0,0.0,115.22,72.81,76.33,0,0,0,1,0.0870516120508
83,0.0,441365.0,101.0,-1000000000.0,25.0,73.31,21.23,68.0,0,1,0,0,0.00477758264538
84,0.0,88241.0,7.0,1697826.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0
85,0.0,90.0,1.0,411918.0,0.0,0.0,0.0,0.0,0,0,0,1,0.0
86,0.0,4613.0,5.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0.0
87,0.0,14387.0,10.0,1366957.0,0.0,36.0,47.0,0.0,0,0,0,0,0.108220367396
88,0.0,324.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.00248729346927
89,0.0,13179.0,43.0,-1000000000.0,11.0,30.5,3.5,0.0,0,0,0,0,0.00660479187199
90,0.0,699.0,4.0,-1000000000.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0
91,0.0,3937.0,29.0,-1000000000.0,0.0,0.0,0.75,6.33,0,0,0,0,0.0717567832876
92,0.0,315.0,4.0,-1000000000.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0
93,0.0,36378.0,5.0,-1000000000.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0
94,1.0,68171.0,20.0,0.0,24.33,106.67,80.33,76.67,1,0,0,0,0.0573799820912
95,0.0,786.0,10.0,-1000000000.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0
96,1.0,1047.0,1.0,590000.0,20.57,0.0,0.0,0.0,1,0,0,0,0.245326442073
97,1.0,10000.0,3.0,17206.0,0.0,0.0,0.0,0.0,1,0,0,0,0.215202440719
98,0.0,1493524.0,15.0,5238039.0,0.0,0.0,0.0,0.0,1,0,0,0,0.0132350916643
99,0.0,311.0,4.0,-1000000000.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0
